;Buurten;Huishoudens met een laag inkomen|2009;Huishoudens met een laag inkomen|2010;Huishoudens met een laag inkomen|2011;Huishoudens met een laag inkomen|2012;Huishoudens met een laag inkomen|2013;Huishoudens met een laag inkomen|2014;Huishoudens met een laag inkomen|2015;Huishoudens met een laag inkomen|2016;Huishoudens met een laag inkomen|2017;Huishoudens met een laag inkomen|2018;Huishoudens met een laag inkomen|2019;Huishoudens met een laag inkomen|2020;Huishoudens met een laag inkomen|2021;Huishoudens met een hoog inkomen|2009;Huishoudens met een hoog inkomen|2010;Huishoudens met een hoog inkomen|2011;Huishoudens met een hoog inkomen|2012;Huishoudens met een hoog inkomen|2013;Huishoudens met een hoog inkomen|2014;Huishoudens met een hoog inkomen|2015;Huishoudens met een hoog inkomen|2016;Huishoudens met een hoog inkomen|2017;Huishoudens met een hoog inkomen|2018;Huishoudens met een hoog inkomen|2019;Huishoudens met een hoog inkomen|2020;Huishoudens met een hoog inkomen|2021
0;Valkenberg;60,0;58,0;53,0;55,0;53,0;;66,0;64,0;64,0;64,0;61,0;63,0;61,0;16,0;12,0;15,0;15,0;16,0;63,0;12,0;12,0;11,0;11,0;11,0;10,0;11,0
1;Chassé;47,0;44,0;44,0;44,0;44,0;;47,0;48,0;48,0;48,0;46,0;46,0;47,0;18,0;21,0;21,0;22,0;21,0;45,0;20,0;17,0;17,0;16,0;18,0;18,0;17,0
2;Fellenoord;66,0;68,0;66,0;68,0;66,0;;67,0;69,0;70,0;71,0;71,0;71,0;70,0;5,0;3,0;5,0;5,0;5,0;69,0;5,0;5,0;4,0;4,0;4,0;4,0;4,0
3;Schorsmolen;66,0;62,0;66,0;66,0;66,0;;69,0;70,0;71,0;72,0;70,0;69,0;68,0;5,0;5,0;5,0;6,0;5,0;69,0;5,0;4,0;4,0;4,0;4,0;4,0;4,0
4;Station;57,0;50,0;58,0;53,0;52,0;;59,0;60,0;55,0;55,0;57,0;55,0;55,0;13,0;14,0;13,0;15,0;18,0;60,0;16,0;14,0;14,0;14,0;15,0;14,0;13,0
5;City;50,0;53,0;52,0;52,0;53,0;;65,0;64,0;65,0;64,0;63,0;63,0;61,0;16,0;15,0;13,0;15,0;15,0;65,0;11,0;9,0;10,0;11,0;11,0;11,0;10,0
6;Belcrum;41,0;42,0;?;?;?;;44,0;41,0;36,0;37,0;38,0;36,0;36,0;21,0;21,0;?;?;?;?;21,0;23,0;25,0;26,0;26,0;27,0;28,0
7;Doornbos-Linie;60,0;63,0;61,0;59,0;59,0;;59,0;60,0;57,0;59,0;59,0;57,0;54,0;7,0;6,0;7,0;7,0;7,0;60,0;8,0;8,0;8,0;7,0;8,0;9,0;11,0
8;Biesdonk;52,0;50,0;54,0;53,0;54,0;;53,0;54,0;55,0;55,0;54,0;55,0;55,0;8,0;8,0;8,0;7,0;7,0;52,0;8,0;6,0;6,0;7,0;7,0;7,0;8,0
9;Geeren-zuid;?;?;?;65,0;65,0;;62,0;66,0;64,0;65,0;65,0;66,0;65,0;?;?;?;5,0;5,0;62,0;5,0;4,0;5,0;4,0;5,0;4,0;5,0
10;Wisselaar;47,0;46,0;49,0;49,0;51,0;;49,0;53,0;53,0;52,0;52,0;51,0;50,0;9,0;10,0;8,0;8,0;8,0;50,0;8,0;7,0;8,0;8,0;8,0;7,0;8,0
11;Krogten;32,0;23,0;?;?;?;;42,0;46,0;43,0;?;?;44,0;?;16,0;17,0;?;?;?;?;14,0;20,0;23,0;?;?;21,0;?
12;Geeren-noord;64,0;60,0;62,0;62,0;62,0;;63,0;64,0;63,0;63,0;62,0;63,0;62,0;8,0;8,0;6,0;7,0;6,0;62,0;7,0;7,0;6,0;7,0;7,0;7,0;8,0
13;Waterdonken;?;?;12,0;31,0;26,0;;24,0;22,0;20,0;19,0;18,0;20,0;20,0;?;?;34,0;28,0;27,0;23,0;35,0;34,0;37,0;40,0;40,0;39,0;39,0
14;Brabantpark;51,0;50,0;49,0;48,0;49,0;;55,0;54,0;54,0;54,0;54,0;55,0;55,0;14,0;13,0;13,0;13,0;13,0;55,0;12,0;13,0;13,0;13,0;13,0;12,0;13,0
