"Buurten";"Leerlingen BO naar kenmerken|'00/'01";"Leerlingen BO naar kenmerken|'01/'02";"Leerlingen BO naar kenmerken|'02/'03";"Leerlingen BO naar kenmerken|'03/'04";"Leerlingen BO naar kenmerken|'04/'05";"Leerlingen BO naar kenmerken|'05/'06";"Leerlingen BO naar kenmerken|'06/'07";"Leerlingen BO naar kenmerken|'07/'08";"Leerlingen BO naar kenmerken|'08/'09";"Leerlingen BO naar kenmerken|'09/'10";"Leerlingen BO naar kenmerken|'10/'11";"Leerlingen BO naar kenmerken|'11/'12";"Leerlingen BO naar kenmerken|'12/'13";"Leerlingen BO naar kenmerken|'13/'14";"Leerlingen BO naar kenmerken|'14/'15";"Leerlingen BO naar kenmerken|'15/'16";"Leerlingen BO naar kenmerken|'16/'17";"Leerlingen BO naar kenmerken|'17/'18";"Leerlingen BO naar kenmerken|'18/'19";"Leerlingen BO naar kenmerken|19/'20";"Leerlingen BO naar kenmerken|20/'21";"Leerlingen BO naar kenmerken|'21/'22"
"Valkenberg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Chass?©";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Fellenoord";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Schorsmolen";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Station";241;272;290;308;346;386;424;451;462;451;471;480;486;475;478;482;464;458;455;454;449;437
"City";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Belcrum";164;162;177;160;177;179;177;180;202;216;226;263;276;302;341;369;398;414;433;427;409;393
"Doornbos-Linie";693;702;693;678;658;648;616;643;605;574;540;538;536;553;511;526;523;531;602;617;640;646
"Biesdonk";492;519;516;510;496;512;514;494;520;521;501;486;478;459;436;421;396;364;359;348;330;301
"Geeren-zuid";296;266;262;242;241;250;252;266;270;274;259;256;232;262;288;339;341;394;366;332;325;296
"Wisselaar";345;328;315;190;182;188;191;173;171;179;188;198;202;215;201;197;199;193;180;176;158;157
"Krogten";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Geeren-noord";381;395;354;438;419;402;332;338;352;354;341;336;346;255;257;267;274;281;263;259;246;226
"Waterdonken";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Brabantpark";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Sportpark";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Zandberg";819;849;869;918;960;991;1003;1037;1046;1077;1108;1132;1122;1159;1167;1188;1178;1153;1148;1123;1093;1076
"Heusdenhout";684;661;664;670;683;698;690;693;708;724;752;761;752;741;733;738;725;723;683;661;661;649
"Moleneind-oost";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Hoogeind";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Blauwe Kei";389;376;370;366;345;371;366;366;368;368;367;359;379;379;366;370;369;353;344;340;305;298
"Ypelaar";248;237;233;238;217;222;205;165;164;158;163;179;171;179;184;177;180;180;164;148;152;134
"Overakker";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Ginneken";757;779;820;873;942;976;1037;1084;1126;1155;1146;1179;1232;1232;1259;1256;1314;1326;1330;1331;1290;1251
"Mastbos";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
