,Unnamed: 0.1,Unnamed: 0,date,hosts,id,length,start,end,title,summary,keywords,date_time_start,date_time_end,content_id,fragment
0,0,0,2021-01-02,"['Hilbrand, Sophie', 'Logtenberg, Hugo']",OP1__________-WON02197428_01_segment,00:21:21,22:20:11,22:41:32,"Gerard Smetsers, Annelie Jager and Károly Illy about opening primary schools","Primary schools are allowed to open again, but that does not mean that they will all open. Elementary school Het Palet, where Gerard Smetsers is director, will keep its doors closed for the time being. Teacher Annelie Jager also does not trust it and wants all teachers to be vaccinated first. At Op1, they discuss with pediatrician Károly Illy how primary schools should be reopened.","['director', 'Closed', 'primary schools']",2021-01-02 22:20:11,2021-01-02 22:41:32,WON02197428,1
1,1,1,2021-01-02,"['Hilbrand, Sophie', 'Logtenberg, Hugo']",OP1__________-WON02197428_02_segment,00:11:04,22:41:36,22:52:41,IC doctor Hugo Touw wants the corona measures to be relaxed,"Intensivists are calling for relaxation of the corona measures. According to IC doctor Hugo Touw, who is affiliated with Radboud UMC in Nijmegen, the strict corona measures are currently taking their toll, because regular care is increasingly being postponed. Should we accept more corona deaths? At Op1, Touw explains why he thinks this conversation should be held.","['accept', 'Why', 'corona measures']",2021-01-02 22:41:36,2021-01-02 22:52:41,WON02197428,2
2,2,2,2021-01-02,"['Hilbrand, Sophie', 'Logtenberg, Hugo']",OP1__________-WON02197428_03_segment,00:11:15,22:53:04,23:04:20,Feike Sijbesma on the consequences of the climate crisis,"According to ex-coronavirus envoy Feike Sijbesma, the corona pandemic will no longer be our only problem, but a new pandemic will soon arrive with the climate crisis. Last week he was present together with Joe Biden, John Kerry and Bill Gates, among others, when world leaders met for the climate summit. He joins Op1 to discuss the consequences of the climate crisis.","['fast', 'world leaders', 'climate crisis']",2021-01-02 22:53:04,2021-01-02 23:04:20,WON02197428,3
3,3,3,2021-01-02,"['Hilbrand, Sophie', 'Logtenberg, Hugo']",OP1__________-WON02197428_04_segment,00:11:20,23:04:22,23:15:39,Danny Ghosen and ex-designer drug addict Kevin on a new season of Danny's world,"More and more reports are coming in of people being poisoned by the drug 3-MMC. This so-called designer drug feels like a combination of ecstasy and cocaine, but can simply be ordered online. Unlike traditional drugs, 3-MMC is legal. Journalist Danny Ghosen goes in search of the world behind this drug in the latest episode of 'Danny's world'. He is a guest at Op1, together with Kevin, who was addicted to 3-MMC.","['newest', 'combination', 'designerdrug']",2021-01-02 23:04:22,2021-01-02 23:15:39,WON02197428,4
4,4,4,2022-01-02,"['Brink, Tijs van den', 'Ostiana, Giovanca', 'Fikse, Margje']",OP1__________-WON02290378_01_segment,00:06:22,22:38:18,22:44:40,"Op1 - The opening of Tuesday, February 1","Marc van der Linden, Jeroen Snel and Jesse Klaver discuss their news of the day.","['fast', 'linden', 'news']",2022-01-02 22:38:18,2022-01-02 22:44:40,WON02290378,1
5,5,5,2022-01-02,"['Brink, Tijs van den', 'Ostiana, Giovanca', 'Fikse, Margje']",OP1__________-WON02290378_02_segment,00:06:56,22:44:41,22:51:38,Flight commander Loek Beelen rescued crew members of Julietta D,Storm Corrie loosened the anchor of freighter Julietta D. The ship became rudderless and collided with an oil tanker. The crew members were trapped on the ship and had to be rescued. Flight commander Loek Beelen piloted the first helicopter and disembarked six crew members. At Op1 we look back at the rescue operation from the air.,"['six', 'rescue operation', 'cargo ship']",2022-01-02 22:44:41,2022-01-02 22:51:38,WON02290378,2
6,6,6,2022-01-02,"['Brink, Tijs van den', 'Ostiana, Giovanca', 'Fikse, Margje']",OP1__________-WON02290378_03_segment,00:15:46,22:51:38,23:07:24,"Mirjam Bikker, Roland Pierik, Thomas van Groningen & Mira van der Veen about 2G","Will the controversial 2G policy be introduced in the Netherlands? Not yet, writes Minister Kuipers in a letter to the House. Still, he doesn't want to throw the bill off the table just yet. Additional research into the effectiveness of 2G must be awaited. ChristenUnie MP Mirjam Bikker, legal philosopher Roland Pierik, QR opponent Mira van der Veen and political reporter Thomas van Groningen join Op1.","['right filosoof', 'effectiveness', '2g']",2022-01-02 22:51:38,2022-01-02 23:07:24,WON02290378,3
7,7,7,2022-01-02,"['Brink, Tijs van den', 'Ostiana, Giovanca', 'Fikse, Margje']",OP1__________-WON02290378_04_segment,00:11:57,23:08:06,23:20:03,Jesse Klaver & Jurgen de Vries about the savings tax,"Positive news for wealthy savers. Due to the Supreme Court's ruling, it is expected that 1.3 million Dutch people will receive a refund, because tax was levied incorrectly on their assets from box 3. Jesse Klaver of GroenLinks believes that this verdict shows that large assets in the Netherlands are taxed unfairly Jesse Klaver. Jurgen de Vries, chairman of the Association for Taxpayers, is pleased with the verdict. He has been fighting the 'savings tax' for years. They join Op1 together.","['chair', 'expectation', 'greenleft']",2022-01-02 23:08:06,2022-01-02 23:20:03,WON02290378,4
8,8,8,2022-01-02,"['Brink, Tijs van den', 'Ostiana, Giovanca', 'Fikse, Margje']",OP1__________-WON02290378_05_segment,00:13:16,23:20:01,23:33:16,Jeroen Snel & Marc van der Linden about 20 years Willem-Alexander and Maxima,"Tomorrow it will be exactly 20 years ago that King Willem-Alexander and Queen Maxima tied the knot in the Nieuwe Kerk on Dam Square. But what happened after that famous tear? How have two decades of Willem-Alexander and Maxima changed our view of the monarchy? We discuss it with royal family experts Jeroen Snel and Marc van der Linden, who also announced that he was leaving RTL Boulevard after 20 years.","['twenty', 'changed', 'royal family experts']",2022-01-02 23:20:01,2022-01-02 23:33:16,WON02290378,5
9,9,9,2021-01-03,"['Hilbrand, Sophie', 'Logtenberg, Hugo']",OP1__________-WON02205329_01_segment,00:12:35,22:31:15,22:43:50,Stefan de Vries and Chazia Mourali on the conviction of ex-president of France Sarkozy,"Former French president Nicolas Sarkozy has been found guilty of corruption and sentenced to three years in prison, two of which are suspended. He doesn't have to go to jail, but gets an ankle bracelet. On Monday evening at Op1, correspondent Stefan de Vries and presenter Chazia Mourali discuss the latest news about the former president of France who has been convicted of abuse of power, but is appealing.","['two', 'news', 'imprisonment']",2021-01-03 22:31:15,2021-01-03 22:43:50,WON02205329,1
