;Buurten;Bevolking naar leeftijd en geslacht|2014|< 30 jaar|Man;Bevolking naar leeftijd en geslacht|2014|< 30 jaar|Vrouw;Bevolking naar leeftijd en geslacht|2014|30-44 jaar|Man;Bevolking naar leeftijd en geslacht|2014|30-44 jaar|Vrouw;Bevolking naar leeftijd en geslacht|2014|45-64 jaar|Man;Bevolking naar leeftijd en geslacht|2014|45-64 jaar|Vrouw;Bevolking naar leeftijd en geslacht|2014|65-74 jaar|Man;Bevolking naar leeftijd en geslacht|2014|65-74 jaar|Vrouw;Bevolking naar leeftijd en geslacht|2014|>= 75 jaar|Man;Bevolking naar leeftijd en geslacht|2014|>= 75 jaar|Vrouw;Bevolking naar leeftijd en geslacht|2015|< 30 jaar|Man;Bevolking naar leeftijd en geslacht|2015|< 30 jaar|Vrouw;Bevolking naar leeftijd en geslacht|2015|30-44 jaar|Man;Bevolking naar leeftijd en geslacht|2015|30-44 jaar|Vrouw;Bevolking naar leeftijd en geslacht|2015|45-64 jaar|Man;Bevolking naar leeftijd en geslacht|2015|45-64 jaar|Vrouw;Bevolking naar leeftijd en geslacht|2015|65-74 jaar|Man;Bevolking naar leeftijd en geslacht|2015|65-74 jaar|Vrouw;Bevolking naar leeftijd en geslacht|2015|>= 75 jaar|Man;Bevolking naar leeftijd en geslacht|2015|>= 75 jaar|Vrouw;Bevolking naar leeftijd en geslacht|2016|< 30 jaar|Man;Bevolking naar leeftijd en geslacht|2016|< 30 jaar|Vrouw;Bevolking naar leeftijd en geslacht|2016|30-44 jaar|Man;Bevolking naar leeftijd en geslacht|2016|30-44 jaar|Vrouw;Bevolking naar leeftijd en geslacht|2016|45-64 jaar|Man;Bevolking naar leeftijd en geslacht|2016|45-64 jaar|Vrouw;Bevolking naar leeftijd en geslacht|2016|65-74 jaar|Man;Bevolking naar leeftijd en geslacht|2016|65-74 jaar|Vrouw;Bevolking naar leeftijd en geslacht|2016|>= 75 jaar|Man;Bevolking naar leeftijd en geslacht|2016|>= 75 jaar|Vrouw;Bevolking naar leeftijd en geslacht|2017|< 30 jaar|Man;Bevolking naar leeftijd en geslacht|2017|< 30 jaar|Vrouw;Bevolking naar leeftijd en geslacht|2017|30-44 jaar|Man;Bevolking naar leeftijd en geslacht|2017|30-44 jaar|Vrouw;Bevolking naar leeftijd en geslacht|2017|45-64 jaar|Man;Bevolking naar leeftijd en geslacht|2017|45-64 jaar|Vrouw;Bevolking naar leeftijd en geslacht|2017|65-74 jaar|Man;Bevolking naar leeftijd en geslacht|2017|65-74 jaar|Vrouw;Bevolking naar leeftijd en geslacht|2017|>= 75 jaar|Man;Bevolking naar leeftijd en geslacht|2017|>= 75 jaar|Vrouw;Bevolking naar leeftijd en geslacht|2018|< 30 jaar|Man;Bevolking naar leeftijd en geslacht|2018|< 30 jaar|Vrouw;Bevolking naar leeftijd en geslacht|2018|30-44 jaar|Man;Bevolking naar leeftijd en geslacht|2018|30-44 jaar|Vrouw;Bevolking naar leeftijd en geslacht|2018|45-64 jaar|Man;Bevolking naar leeftijd en geslacht|2018|45-64 jaar|Vrouw;Bevolking naar leeftijd en geslacht|2018|65-74 jaar|Man;Bevolking naar leeftijd en geslacht|2018|65-74 jaar|Vrouw;Bevolking naar leeftijd en geslacht|2018|>= 75 jaar|Man;Bevolking naar leeftijd en geslacht|2018|>= 75 jaar|Vrouw;Bevolking naar leeftijd en geslacht|2019|< 30 jaar|Man;Bevolking naar leeftijd en geslacht|2019|< 30 jaar|Vrouw;Bevolking naar leeftijd en geslacht|2019|30-44 jaar|Man;Bevolking naar leeftijd en geslacht|2019|30-44 jaar|Vrouw;Bevolking naar leeftijd en geslacht|2019|45-64 jaar|Man;Bevolking naar leeftijd en geslacht|2019|45-64 jaar|Vrouw;Bevolking naar leeftijd en geslacht|2019|65-74 jaar|Man;Bevolking naar leeftijd en geslacht|2019|65-74 jaar|Vrouw;Bevolking naar leeftijd en geslacht|2019|>= 75 jaar|Man;Bevolking naar leeftijd en geslacht|2019|>= 75 jaar|Vrouw;Bevolking naar leeftijd en geslacht|2020|< 30 jaar|Man;Bevolking naar leeftijd en geslacht|2020|< 30 jaar|Vrouw;Bevolking naar leeftijd en geslacht|2020|30-44 jaar|Man;Bevolking naar leeftijd en geslacht|2020|30-44 jaar|Vrouw;Bevolking naar leeftijd en geslacht|2020|45-64 jaar|Man;Bevolking naar leeftijd en geslacht|2020|45-64 jaar|Vrouw;Bevolking naar leeftijd en geslacht|2020|65-74 jaar|Man;Bevolking naar leeftijd en geslacht|2020|65-74 jaar|Vrouw;Bevolking naar leeftijd en geslacht|2020|>= 75 jaar|Man;Bevolking naar leeftijd en geslacht|2020|>= 75 jaar|Vrouw;Bevolking naar leeftijd en geslacht|2021|< 30 jaar|Man;Bevolking naar leeftijd en geslacht|2021|< 30 jaar|Vrouw;Bevolking naar leeftijd en geslacht|2021|30-44 jaar|Man;Bevolking naar leeftijd en geslacht|2021|30-44 jaar|Vrouw;Bevolking naar leeftijd en geslacht|2021|45-64 jaar|Man;Bevolking naar leeftijd en geslacht|2021|45-64 jaar|Vrouw;Bevolking naar leeftijd en geslacht|2021|65-74 jaar|Man;Bevolking naar leeftijd en geslacht|2021|65-74 jaar|Vrouw;Bevolking naar leeftijd en geslacht|2021|>= 75 jaar|Man;Bevolking naar leeftijd en geslacht|2021|>= 75 jaar|Vrouw;Bevolking naar leeftijd en geslacht|2022|< 30 jaar|Man;Bevolking naar leeftijd en geslacht|2022|< 30 jaar|Vrouw;Bevolking naar leeftijd en geslacht|2022|30-44 jaar|Man;Bevolking naar leeftijd en geslacht|2022|30-44 jaar|Vrouw;Bevolking naar leeftijd en geslacht|2022|45-64 jaar|Man;Bevolking naar leeftijd en geslacht|2022|45-64 jaar|Vrouw;Bevolking naar leeftijd en geslacht|2022|65-74 jaar|Man;Bevolking naar leeftijd en geslacht|2022|65-74 jaar|Vrouw;Bevolking naar leeftijd en geslacht|2022|>= 75 jaar|Man;Bevolking naar leeftijd en geslacht|2022|>= 75 jaar|Vrouw
0;Valkenberg;380;485;221;152;194;172;101;77;40;105;426;496;201;163;191;169;106;84;42;97;525;519;241;171;202;190;110;86;45;93;463;470;182;147;203;191;109;99;46;89;453;482;159;138;195;186;105;106;50;85;447;476;177;133;191;192;115;110;52;89;439;472;184;134;196;190;120;111;52;92;425;488;188;123;203;193;116;118.0;57;90;426;524;184;122;201;196;112;111;61;71
1;Chassé;604;602;383;333;436;352;170;204;99;126;603;647;404;317;431;344;174;211;110;136;617;628;394;312;424;351;190;213;121;149;580;599;369;309;420;337;200;216;122;152;570;577;370;292;405;363;230;225;125;163;581;563;357;293;422;352;212;225;128;167;586;561;379;270;432;362;206;225;141;177;612;637;356;253;414;359;212;220.0;141;177;612;628;339;239;413;364;193;208;170;195
2;Fellenoord;333;365;174;149;163;171;51;43;27;32;344;350;183;148;160;183;53;38;29;32;321;339;193;151;167;181;51;45;24;34;319;361;186;163;164;176;51;50;24;32;333;370;189;162;158;168;56;53;23;29;355;392;192;169;164;166;53;52;20;24;336;381;193;183;166;163;60;59;20;23;313;378;203;181;171;154;53;64.0;25;26;322;364;204;185;163;150;58;67;24;24
3;Schorsmolen;650;805;482;379;287;192;87;71;94;230;657;811;479;371;297;210;89;71;76;224;727;859;478;362;309;212;88;68;79;210;769;819;454;357;313;215;98;72;90;222;797;836;449;316;329;224;97;78;92;199;800;799;428;297;335;218;100;76;94;202;810;812;437;325;339;210;94;80;109;204;782;802;458;344;336;209;100;84.0;98;194;761;800;473;351;338;223;113;94;111;193
4;Station;513;593;309;228;181;160;42;28;15;18;537;573;322;227;176;157;48;31;14;17;555;563;305;237;181;161;50;39;12;17;563;612;322;244;191;173;55;40;16;18;587;596;346;268;196;173;58;45;15;19;590;608;334;279;207;175;53;51;15;17;552;596;318;289;219;185;53;57;20;13;562;586;303;286;219;184;50;59.0;22;12;534;566;329;305;241;188;49;54;26;21
5;City;622;729;301;180;208;148;66;62;23;41;658;750;308;188;217;162;70;61;24;39;672;744;289;190;231;155;71;66;25;44;703;774;298;173;252;183;75;65;25;46;703;729;284;166;262;170;81;78;27;47;700;700;267;153;250;166;75;81;35;49;708;715;267;184;264;174;76;80;40;54;700;732;264;170;260;168;75;84.0;47;53;709;770;283;163;258;151;84;84;43;61
6;Belcrum;678;723;471;455;376;382;128;138;62;59;680;733;463;462;392;380;126;145;64;59;715;779;449;449;418;394;117;148;68;67;803;863;506;478;452;438;131;151;61;65;784;857;539;485;478;447;126;142;61;75;776;862;529;470;473;457;133;145;67;77;785;867;534;511;483;450;139;164;64;83;779;863;505;494;473;444;139;156.0;69;80;761;861;500;482;482;441;137;164;82;95
7;Doornbos-Linie;945;979;512;413;498;434;156;153;84;152;966;951;554;428;486;430;163;155;82;155;963;919;535;427;499;441;169;161;89;150;966;930;543;432;497;451;166;163;95;143;948;913;545;428;502;454;166;169;97;134;954;939;535;423;511;448;164;176;103;134;893;886;533;439;527;447;171;171;109;132;887;856;577;463;536;449;175;172.0;108;131;889;843;595;490;547;470;181;170;113;136
8;Biesdonk;908;964;488;497;575;620;231;250;172;303;912;932;479;491;569;641;242;256;175;298;914;937;468;472;565;633;237;264;179;301;923;960;465;467;581;621;228;279;177;295;953;971;469;489;575;627;233;270;178;292;935;972;461;486;585;624;234;277;182;292;929;961;480;463;578;628;220;282;183;304;917;933;451;455;591;622;222;284.0;175;294;902;925;468;446;581;617;207;275;184;293
9;Geeren-zuid;737;730;355;358;359;362;159;199;136;245;752;735;363;357;375;405;154;194;136;236;758;716;354;379;384;404;147;195;147;237;751;743;348;381;394;435;146;181;141;232;757;723;351;393;403;439;146;178;131;228;740;718;344;381;390;437;152;201;134;216;737;722;369;389;393;460;154;190;142;219;737;709;363;384;397;472;160;183.0;128;219;718;678;366;388;397;479;156;168;132;241
10;Wisselaar;822;838;375;380;521;562;205;224;128;161;789;836;367;380;532;578;209;219;136;167;787;826;370;381;531;579;194;219;140;166;766;819;371;382;548;566;194;217;152;173;783;825;359;379;543;561;210;227;159;172;807;828;376;391;541;570;200;217;160;162;783;826;400;404;527;549;211;224;157;176;777;826;418;399;515;536;210;220.0;157;180;775;810;419;413;517;533;201;199;159;198
11;Krogten;38;28;26;14;39;34;12;10;3;3;35;27;23;11;47;34;10;10;4;3;31;33;20;12;44;33;9;10;5;2;35;29;21;13;45;31;9;11;4;2;28;25;14;15;41;32;14;10;4;4;26;30;16;17;39;29;16;11;5;5;30;33;20;18;37;27;14;11;7;5;25;30;16;14;35;28;14;11.0;8;6;30;31;17;12;34;29;14;11;8;5
12;Geeren-noord;529;535;277;229;314;301;101;126;107;199;539;516;277;241;317;311;108;118;97;192;545;530;285;249;329;325;103;110;101;188;543;511;250;256;346;329;105;107;112;201;542;493;243;277;357;323;92;110;111;188;523;480;256;277;369;310;95;119;108;184;524;469;253;276;364;314;89;113;116;185;507;488;264;267;361;314;94;115.0;105;169;497;482;280;273;354;315;92;118;113;169
13;Waterdonken;218;261;212;190;63;61;10;5;2;2;212;256;240;207;67;65;11;8;2;2;217;253;247;220;73;74;13;10;2;3;247;275;258;235;81;79;11;11;3;3;242;272;255;252;84;83;15;14;4;4;271;270;261;263;116;107;24;23;5;6;277;264;234;242;134;124;22;25;6;7;277;259;219;221;147;127;19;27.0;8;8;262;240;208;220;153;139;19;30;10;10
14;Brabantpark;2033;2255;1067;980;1095;1093;343;430;281;523;1959;2250;1055;966;1103;1103;359;434;290;518;1999;2278;1066;989;1095;1118;373;450;292;515;1955;2225;1028;982;1104;1119;391;451;289;508;1950;2270;993;969;1116;1136;409;455;282;502;1944;2280;1005;971;1128;1143;419;463;290;499;2035;2284;1029;973;1124;1138;443;467;284;506;2091;2295;1009;992;1114;1117;454;483.0;254;480;2172;2360;1038;990;1128;1139;440;489;290;510
