;Buurten;Opleidingsniveau 15-75-jarigen - Laag|2019;Opleidingsniveau 15-75-jarigen - Laag|2020;Opleidingsniveau 15-75-jarigen - Laag|2021;Opleidingsniveau 15-75-jarigen - Midden|2019;Opleidingsniveau 15-75-jarigen - Midden|2020;Opleidingsniveau 15-75-jarigen - Midden|2021;Opleidingsniveau 15-75-jarigen - Hoog|2019;Opleidingsniveau 15-75-jarigen - Hoog|2020;Opleidingsniveau 15-75-jarigen - Hoog|2021
0;Valkenberg;240;240;230;740;;;780;800;840
1;Chassé;340;230;340;900;;;1440;1870;1490
2;Fellenoord;410;430;440;580;;;390;390;380
3;Schorsmolen;390;390;440;1160;;;1410;1520;1550
4;Station;360;280;250;730;;;970;1060;1090
5;City;240;230;220;1160;;;1010;1020;1090
6;Belcrum;510;520;520;1060;;;1570;1580;1570
7;Doornbos-Linie;1080;960;1020;1460;;;1020;1260;1310
8;Biesdonk;1400;1480;1430;1480;;;830;720;740
9;Geeren-zuid;1250;1240;1110;1050;;;430;470;630
10;Wisselaar;1370;1360;1260;1140;;;680;510;500
11;Krogten;50;50;50;70;;;50;60;50
12;Geeren-noord;810;790;730;850;;;290;290;450
13;Waterdonken;70;90;80;200;;;660;620;620
14;Brabantpark;1970;1950;1880;3300;;;2880;2880;3100
15;Sportpark;350;320;300;840;;;1320;1350;1370
16;Zandberg;410;410;380;1290;;;2330;2340;2310
17;Heusdenhout;990;960;980;1470;;;1200;1210;1260
18;Moleneind-oost;0;0;0;10;;;30;30;30
19;Hoogeind;10;10;10;20;;;0;0;0
20;Blauwe Kei;650;590;460;950;;;1270;1310;1290
21;Ypelaar;930;940;970;1810;;;1440;1560;1530
22;Overakker;450;410;360;580;;;1100;1150;1160
23;Ginneken;950;540;550;950;;;2100;2360;2420
24;Mastbos;130;170;150;160;;;190;240;260
25;Boeimeer;720;640;640;1210;;;2350;2360;2480
26;Ruitersbos;210;200;270;470;;;900;890;900
27;Haagpoort;550;590;620;550;;;620;640;610
28;Heuvel;2050;2200;2090;2160;;;1750;1640;1710
29;Tuinzigt;2120;2020;2010;2820;;;1450;1560;1680
30;Princenhage;1640;1700;1640;2330;;;2480;2450;2470
31;Westerpark;570;570;580;990;;;1030;1050;1040
32;Heilaar;70;70;70;110;;;170;170;180
33;Hazeldonk;?;?;?;?;;;?;?;?
34;Steenakker;40;40;40;290;;;120;130;130
35;Effen-Rith;150;150;140;280;;;220;230;250
36;Liesbos;110;110;120;170;;;230;230;250
37;Gageldonk;940;840;820;1490;;;1400;1360;1370
38;Kievitsloop;850;820;800;1510;;;1020;1020;970
39;Kesteren;1040;1010;900;1400;;;620;650;680
40;Muizenberg;780;740;680;950;;;670;670;640
41;Heksenwiel;990;950;880;1480;;;1050;1050;1070
42;Overkroeten;560;520;480;1130;;;810;800;840
43;Kroeten;370;370;340;740;;;680;680;660
44;Emer;?;?;?;?;;;?;?;?
45;Hagebeemd;40;40;40;30;;;100;90;80
46;Bavel;860;810;810;1690;;;1460;1520;1540
47;Nieuw Wolfslaar;370;360;370;470;;;890;870;890
48;Buitengebied Bavel;90;100;110;190;;;170;190;180
49;Ulvenhout;540;600;580;1090;;;1550;1560;1570
50;Buitengebied Ulvenhout;50;40;40;100;;;90;80;100
51;Prinsenbeek;1890;1840;1750;3400;;;2710;2850;3000
52;Buitengebied Prinsenbeek;120;120;120;340;;;190;200;200
53;Teteringen;1260;1270;1150;1950;;;2270;2430;2540
54;Vuchtpolder;30;30;20;40;;;10;10;20
55;Buitengebied Teteringen;70;60;60;20;;;50;50;40
