Buurten,< 30 jaar,30-44 jaar,45-64 jaar,65-74 jaar,>= 75 jaar,Highincome,Lowincome,Hoog,Laag,Midden,2019
Bavel,1710.0,768.0,1759.0,712.0,479.0,33.0,26.0,1460.0,860.0,1690.0,4.20836645
Belcrum,1638.0,999.0,930.0,278.0,144.0,26.0,38.0,1570.0,510.0,1060.0,4.0576883
Biesdonk,1907.0,947.0,1209.0,511.0,474.0,7.0,54.0,830.0,1400.0,1480.0,3.8605545
Blauwe Kei,1403.0,796.0,996.0,432.0,260.0,27.0,30.0,1270.0,650.0,950.0,4.22119125
Boeimeer,1904.0,1109.0,1558.0,670.0,516.0,31.0,32.0,2350.0,720.0,1210.0,4.22977
Brabantpark,4224.0,1976.0,2271.0,882.0,789.0,13.0,54.0,2880.0,1970.0,3300.0,4.10866525
Buitengebied Bavel,191.0,49.0,192.0,54.0,30.0,58.0,11.0,170.0,90.0,190.0,4.30479075
Buitengebied Prinsenbeek,277.0,116.0,295.0,105.0,74.0,45.0,17.0,190.0,120.0,340.0,4.269759349999999
Buitengebied Ulvenhout,95.0,43.0,116.0,40.0,20.0,39.0,29.0,90.0,50.0,100.0,4.26891835
Chassé,1144.0,650.0,774.0,437.0,295.0,18.0,46.0,1440.0,340.0,900.0,4.1939247
City,1400.0,420.0,416.0,156.0,84.0,11.0,63.0,1010.0,240.0,1160.0,4.0966944000000005
Doornbos-Linie,1893.0,958.0,959.0,340.0,237.0,8.0,59.0,1020.0,1080.0,1460.0,3.89355815
Effen-Rith,255.0,98.0,283.0,140.0,56.0,45.0,16.0,220.0,150.0,280.0,4.2272551499999995
Fellenoord,747.0,361.0,330.0,105.0,44.0,4.0,71.0,390.0,410.0,580.0,3.9556965
Gageldonk,1628.0,1061.0,1428.0,492.0,108.0,18.0,34.0,1400.0,940.0,1490.0,4.0416363
Geeren-noord,1003.0,533.0,679.0,214.0,292.0,7.0,62.0,290.0,810.0,850.0,3.8146744
Geeren-zuid,1458.0,725.0,827.0,353.0,350.0,5.0,65.0,430.0,1250.0,1050.0,3.8406561
Ginneken,1829.0,910.0,1578.0,638.0,383.0,41.0,26.0,2100.0,950.0,950.0,4.3220869
Haagpoort,857.0,503.0,533.0,158.0,83.0,14.0,57.0,620.0,550.0,550.0,3.9872488
Heilaar,144.0,51.0,164.0,39.0,25.0,55.0,20.0,170.0,70.0,110.0,4.3049506
Heksenwiel,1465.0,684.0,1574.0,456.0,372.0,26.0,34.0,1050.0,990.0,1480.0,4.06162755
Heusdenhout,1687.0,840.0,1318.0,658.0,696.0,17.0,46.0,1200.0,990.0,1470.0,4.13705735
Heuvel,3061.0,1847.0,1726.0,655.0,426.0,9.0,56.0,1750.0,2050.0,2160.0,3.9483108
Kesteren,1485.0,831.0,1186.0,261.0,76.0,13.0,42.0,620.0,1040.0,1400.0,3.96879035
Kievitsloop,1518.0,878.0,1378.0,359.0,95.0,20.0,26.0,1020.0,850.0,1510.0,4.0301924499999995
Kroeten,898.0,539.0,702.0,130.0,55.0,30.0,22.0,680.0,370.0,740.0,4.0543495499999995
Liesbos,198.0,97.0,213.0,110.0,90.0,48.0,18.0,230.0,110.0,170.0,4.2689736499999995
Mastbos,146.0,77.0,203.0,62.0,39.0,44.0,31.0,190.0,130.0,160.0,4.2733077
Muizenberg,1012.0,521.0,996.0,334.0,95.0,21.0,32.0,670.0,780.0,950.0,4.03262275
Nieuw Wolfslaar,857.0,376.0,744.0,237.0,183.0,50.0,16.0,890.0,370.0,470.0,4.26508605
Overakker,981.0,525.0,745.0,386.0,599.0,24.0,35.0,1100.0,450.0,580.0,4.2213828499999995
Overkroeten,1112.0,544.0,1156.0,244.0,157.0,31.0,30.0,810.0,560.0,1130.0,4.03963235
Princenhage,2962.0,1820.0,2114.0,1153.0,741.0,22.0,36.0,2480.0,1640.0,2330.0,4.181267249999999
Prinsenbeek,3551.0,1677.0,3259.0,1307.0,1179.0,32.0,23.0,2710.0,1890.0,3400.0,4.1855356
Ruitersbos,716.0,251.0,608.0,341.0,570.0,35.0,35.0,900.0,210.0,470.0,4.3137118999999995
Schorsmolen,1599.0,725.0,553.0,176.0,296.0,4.0,70.0,1410.0,390.0,1160.0,3.9172494
Sportpark,1270.0,608.0,862.0,350.0,404.0,33.0,27.0,1320.0,350.0,840.0,4.31653555
Station,1198.0,613.0,382.0,104.0,32.0,15.0,57.0,970.0,360.0,730.0,4.0543443
Steenakker,311.0,30.0,100.0,35.0,19.0,13.0,73.0,120.0,40.0,290.0,3.96808695
Teteringen,2493.0,1306.0,2175.0,892.0,887.0,36.0,23.0,2270.0,1260.0,1950.0,4.255069600000001
Tuinzigt,3535.0,1624.0,1589.0,557.0,295.0,6.0,64.0,1450.0,2120.0,2820.0,3.9317927499999996
Ulvenhout,1428.0,641.0,1315.0,618.0,691.0,37.0,25.0,1550.0,540.0,1090.0,4.25384525
Valkenberg,923.0,310.0,383.0,225.0,141.0,11.0,61.0,780.0,240.0,740.0,4.1085529
Waterdonken,541.0,524.0,223.0,47.0,11.0,40.0,18.0,660.0,70.0,200.0,4.0725586499999995
Westerpark,1226.0,748.0,1038.0,247.0,252.0,34.0,28.0,1030.0,570.0,990.0,4.134032299999999
Wisselaar,1635.0,767.0,1111.0,417.0,322.0,8.0,52.0,680.0,1370.0,1140.0,3.87029335
Ypelaar,1710.0,888.0,1496.0,925.0,951.0,17.0,42.0,1440.0,930.0,1810.0,4.16050905
Zandberg,2138.0,884.0,1532.0,431.0,190.0,35.0,36.0,2330.0,410.0,1290.0,4.33471975
