"Buurten";"Score dimensie overlast & onveiligheid (afwijking landelijk gemiddelde)|2014";"Score dimensie overlast & onveiligheid (afwijking landelijk gemiddelde)|2018";"Score dimensie overlast & onveiligheid (afwijking landelijk gemiddelde)|2020"
"Valkenberg";-0,1538985;-0,1165420;-0,1325526
"Chass?©";-0,1113882;-0,0753726;-0,0605069
"Fellenoord";-0,1963963;-0,1902174;-0,1883118
"Schorsmolen";-0,1835272;-0,1819448;-0,1765397
"Station";-0,1317430;-0,1126158;-0,1110563
"City";-0,2263359;-0,1989435;-0,1821792
"Belcrum";-0,0603469;-0,0575643;-0,0893712
"Doornbos-Linie";-0,1519589;-0,1746489;-0,1580695
"Biesdonk";-0,1354717;-0,1431401;-0,1514120
"Geeren-zuid";-0,1438659;-0,1643698;-0,2049683
"Wisselaar";-0,1318518;-0,1385067;-0,1461320
"Krogten";-0,1118947;-0,0700497;0,0014008
"Geeren-noord";-0,1623216;-0,1921476;-0,2024193
"Waterdonken";-0,0181898;-0,0413470;-0,0435490
"Brabantpark";-0,0702787;-0,0435820;-0,0334768
"Sportpark";0,0370481;0,0523518;0,0543718
"Zandberg";0,0167342;0,0229187;0,0196575
"Heusdenhout";-0,0035320;0,0128711;0,0317632
"Moleneind-oost";"?";"?";"?"
"Hoogeind";"";"";"?"
"Blauwe Kei";0,0090908;0,0265416;0,0365100
"Ypelaar";0,0003359;0,0124952;0,0123223
"Overakker";0,0355165;0,0381990;0,0448082
"Ginneken";0,0401650;0,0572123;0,0532192
"Mastbos";0,0642967;0,0035514;-0,0233957
"Boeimeer";-0,0043453;-0,0017174;-0,0081882
"Ruitersbos";0,0305630;0,0404218;0,0354209
"Haagpoort";-0,1434459;-0,1185235;-0,1302598
"Heuvel";-0,1276828;-0,1216707;-0,1185500
"Tuinzigt";-0,1227920;-0,1369819;-0,1297728
"Princenhage";-0,0278291;0,0306892;0,0459662
"Westerpark";-0,0001907;-0,0157337;-0,0132456
"Heilaar";0,0347892;0,0366061;0,0377175
"Hazeldonk";"?";"?";"?"
"Steenakker";0,0217712;-0,0975361;-0,1374826
"Effen-Rith";0,0447148;0,0526027;0,0446394
"Liesbos";0,0626412;0,0677326;0,0669442
"Gageldonk";-0,0777531;-0,0360255;-0,0241977
"Kievitsloop";-0,0649638;-0,0183005;-0,0139323
"Kesteren";-0,1435590;-0,0698477;-0,0665740
"Muizenberg";-0,0968674;-0,0412329;-0,0297101
"Heksenwiel";-0,0375537;-0,0060573;0,0060633
"Overkroeten";-0,0369950;-0,0062506;-0,0011193
"Kroeten";-0,0550305;0,0031868;0,0221046
"Emer";"?";"?";"?"
"Hagebeemd";0,0432461;0,0875522;0,0998196
"Bavel";0,0322052;0,0496788;0,0732937
"Nieuw Wolfslaar";0,0629941;0,0964345;0,0949265
"Buitengebied Bavel";0,0914739;0,0993500;0,0966956
"Ulvenhout";0,0589902;0,0670123;0,0653895
"Buitengebied Ulvenhout";0,0794280;0,0903883;0,0862418
"Prinsenbeek";0,0204898;0,0525224;0,0497132
"Buitengebied Prinsenbeek";0,0589952;0,0930673;0,0965589
"Teteringen";0,0499730;0,0621131;0,0838059
"Vuchtpolder";0,1074830;0,1044476;0,1005419
"Buitengebied Teteringen";0,1073432;0,1287999;0,1331634
