"Buurten";"Score dimensie voorzieningen (afwijking landelijk gemiddelde)|2014";"Score dimensie voorzieningen (afwijking landelijk gemiddelde)|2018";"Score dimensie voorzieningen (afwijking landelijk gemiddelde)|2020"
"Valkenberg";0,1331360;0,1329743;0,1637623
"Chass?©";0,1603268;0,1746602;0,1846928
"Fellenoord";0,1143468;0,1141823;0,1345257
"Schorsmolen";0,1018455;0,1027391;0,1281561
"Station";0,1160548;0,1133721;0,1318378
"City";0,1581673;0,1603441;0,1934068
"Belcrum";0,0882116;0,0873357;0,1053461
"Doornbos-Linie";0,0777425;0,0771807;0,0967158
"Biesdonk";0,0631656;0,0601487;0,0748894
"Geeren-zuid";0,0445934;0,0453609;0,0609908
"Wisselaar";0,0207015;0,0196465;0,0278609
"Krogten";0,0161243;0,0171379;0,0239457
"Geeren-noord";0,0157915;0,0191124;0,0328830
"Waterdonken";-0,0111313;-0,0079169;0,0021462
"Brabantpark";0,0873563;0,0889312;0,1012875
"Sportpark";0,1190775;0,1172492;0,1335149
"Zandberg";0,1433199;0,1472938;0,1584355
"Heusdenhout";0,0205992;0,0243711;0,0326902
"Moleneind-oost";"?";"?";"?"
"Hoogeind";"";"";"?"
"Blauwe Kei";0,0899439;0,0887877;0,0998497
"Ypelaar";0,0358947;0,0424299;0,0531810
"Overakker";0,0422410;0,0414611;0,0499159
"Ginneken";0,0846082;0,0837635;0,0963118
"Mastbos";-0,0959125;-0,1027104;-0,0967267
"Boeimeer";0,1042623;0,1105299;0,1192073
"Ruitersbos";0,0506169;0,0510168;0,0551261
"Haagpoort";0,0878175;0,0933213;0,1099011
"Heuvel";0,0515738;0,0536519;0,0697406
"Tuinzigt";0,0753918;0,0731675;0,0916139
"Princenhage";0,0351987;0,0404290;0,0535789
"Westerpark";0,0357730;0,0320390;0,0448861
"Heilaar";-0,0149267;-0,0152892;-0,0082559
"Hazeldonk";"?";"?";"?"
"Steenakker";-0,0092337;0,0241158;0,0283380
"Effen-Rith";-0,1114293;-0,1092686;-0,1053109
"Liesbos";-0,0737974;-0,0824036;-0,0726626
"Gageldonk";-0,0119113;-0,0156841;-0,0032787
"Kievitsloop";-0,0337107;-0,0454088;-0,0371297
"Kesteren";-0,0116227;-0,0199413;-0,0112961
"Muizenberg";-0,0268727;-0,0287127;-0,0194565
"Heksenwiel";-0,0501104;-0,0519397;-0,0415874
"Overkroeten";-0,0665684;-0,0731360;-0,0639197
"Kroeten";-0,0591532;-0,0603020;-0,0527307
"Emer";"?";"?";"?"
"Hagebeemd";-0,0927226;-0,0965597;-0,0887015
"Bavel";-0,0328758;-0,0290839;-0,0142325
"Nieuw Wolfslaar";-0,0174690;-0,0191376;-0,0101254
"Buitengebied Bavel";-0,0836091;-0,0733347;-0,0662652
"Ulvenhout";-0,0435454;-0,0409335;-0,0221511
"Buitengebied Ulvenhout";-0,0790802;-0,0795821;-0,0713258
"Prinsenbeek";-0,0393828;-0,0317185;-0,0059961
"Buitengebied Prinsenbeek";-0,1083394;-0,1020371;-0,0876120
"Teteringen";-0,0138558;-0,0177860;0,0023570
"Vuchtpolder";-0,1007680;-0,0928432;-0,0746700
"Buitengebied Teteringen";-0,0620891;-0,0470277;-0,0314176
