,Buurten,level_of_education,Year,value
0,Valkenberg, Laag,2019,240
1,Chassé, Laag,2019,340
2,Fellenoord, Laag,2019,410
3,Schorsmolen, Laag,2019,390
4,Station, Laag,2019,360
5,City, Laag,2019,240
6,Belcrum, Laag,2019,510
7,Doornbos-Linie, Laag,2019,1080
8,Biesdonk, Laag,2019,1400
9,Geeren-zuid, Laag,2019,1250
10,Wisselaar, Laag,2019,1370
11,Krogten, Laag,2019,50
12,Geeren-noord, Laag,2019,810
13,Waterdonken, Laag,2019,70
14,Brabantpark, Laag,2019,1970
15,Sportpark, Laag,2019,350
16,Zandberg, Laag,2019,410
17,Heusdenhout, Laag,2019,990
18,Moleneind-oost, Laag,2019,0
19,Hoogeind, Laag,2019,10
20,Blauwe Kei, Laag,2019,650
21,Ypelaar, Laag,2019,930
22,Overakker, Laag,2019,450
23,Ginneken, Laag,2019,950
24,Mastbos, Laag,2019,130
25,Boeimeer, Laag,2019,720
26,Ruitersbos, Laag,2019,210
27,Haagpoort, Laag,2019,550
28,Heuvel, Laag,2019,2050
29,Tuinzigt, Laag,2019,2120
30,Princenhage, Laag,2019,1640
31,Westerpark, Laag,2019,570
32,Heilaar, Laag,2019,70
33,Hazeldonk, Laag,2019,?
34,Steenakker, Laag,2019,40
35,Effen-Rith, Laag,2019,150
36,Liesbos, Laag,2019,110
37,Gageldonk, Laag,2019,940
38,Kievitsloop, Laag,2019,850
39,Kesteren, Laag,2019,1040
40,Muizenberg, Laag,2019,780
41,Heksenwiel, Laag,2019,990
42,Overkroeten, Laag,2019,560
43,Kroeten, Laag,2019,370
44,Emer, Laag,2019,?
45,Hagebeemd, Laag,2019,40
46,Bavel, Laag,2019,860
47,Nieuw Wolfslaar, Laag,2019,370
48,Buitengebied Bavel, Laag,2019,90
49,Ulvenhout, Laag,2019,540
50,Buitengebied Ulvenhout, Laag,2019,50
51,Prinsenbeek, Laag,2019,1890
52,Buitengebied Prinsenbeek, Laag,2019,120
53,Teteringen, Laag,2019,1260
54,Vuchtpolder, Laag,2019,30
55,Buitengebied Teteringen, Laag,2019,70
56,Valkenberg, Laag,2020,240
57,Chassé, Laag,2020,230
58,Fellenoord, Laag,2020,430
59,Schorsmolen, Laag,2020,390
60,Station, Laag,2020,280
61,City, Laag,2020,230
62,Belcrum, Laag,2020,520
63,Doornbos-Linie, Laag,2020,960
64,Biesdonk, Laag,2020,1480
65,Geeren-zuid, Laag,2020,1240
66,Wisselaar, Laag,2020,1360
67,Krogten, Laag,2020,50
68,Geeren-noord, Laag,2020,790
69,Waterdonken, Laag,2020,90
70,Brabantpark, Laag,2020,1950
71,Sportpark, Laag,2020,320
72,Zandberg, Laag,2020,410
73,Heusdenhout, Laag,2020,960
74,Moleneind-oost, Laag,2020,0
75,Hoogeind, Laag,2020,10
76,Blauwe Kei, Laag,2020,590
77,Ypelaar, Laag,2020,940
78,Overakker, Laag,2020,410
79,Ginneken, Laag,2020,540
80,Mastbos, Laag,2020,170
81,Boeimeer, Laag,2020,640
82,Ruitersbos, Laag,2020,200
83,Haagpoort, Laag,2020,590
84,Heuvel, Laag,2020,2200
85,Tuinzigt, Laag,2020,2020
86,Princenhage, Laag,2020,1700
87,Westerpark, Laag,2020,570
88,Heilaar, Laag,2020,70
89,Hazeldonk, Laag,2020,?
90,Steenakker, Laag,2020,40
91,Effen-Rith, Laag,2020,150
92,Liesbos, Laag,2020,110
93,Gageldonk, Laag,2020,840
94,Kievitsloop, Laag,2020,820
95,Kesteren, Laag,2020,1010
96,Muizenberg, Laag,2020,740
97,Heksenwiel, Laag,2020,950
98,Overkroeten, Laag,2020,520
99,Kroeten, Laag,2020,370
100,Emer, Laag,2020,?
101,Hagebeemd, Laag,2020,40
102,Bavel, Laag,2020,810
103,Nieuw Wolfslaar, Laag,2020,360
104,Buitengebied Bavel, Laag,2020,100
105,Ulvenhout, Laag,2020,600
106,Buitengebied Ulvenhout, Laag,2020,40
107,Prinsenbeek, Laag,2020,1840
108,Buitengebied Prinsenbeek, Laag,2020,120
109,Teteringen, Laag,2020,1270
110,Vuchtpolder, Laag,2020,30
111,Buitengebied Teteringen, Laag,2020,60
112,Valkenberg, Laag,2021,230
113,Chassé, Laag,2021,340
114,Fellenoord, Laag,2021,440
115,Schorsmolen, Laag,2021,440
116,Station, Laag,2021,250
117,City, Laag,2021,220
118,Belcrum, Laag,2021,520
119,Doornbos-Linie, Laag,2021,1020
120,Biesdonk, Laag,2021,1430
121,Geeren-zuid, Laag,2021,1110
122,Wisselaar, Laag,2021,1260
123,Krogten, Laag,2021,50
124,Geeren-noord, Laag,2021,730
125,Waterdonken, Laag,2021,80
126,Brabantpark, Laag,2021,1880
127,Sportpark, Laag,2021,300
128,Zandberg, Laag,2021,380
129,Heusdenhout, Laag,2021,980
130,Moleneind-oost, Laag,2021,0
131,Hoogeind, Laag,2021,10
132,Blauwe Kei, Laag,2021,460
133,Ypelaar, Laag,2021,970
134,Overakker, Laag,2021,360
135,Ginneken, Laag,2021,550
136,Mastbos, Laag,2021,150
137,Boeimeer, Laag,2021,640
138,Ruitersbos, Laag,2021,270
139,Haagpoort, Laag,2021,620
140,Heuvel, Laag,2021,2090
141,Tuinzigt, Laag,2021,2010
142,Princenhage, Laag,2021,1640
143,Westerpark, Laag,2021,580
144,Heilaar, Laag,2021,70
145,Hazeldonk, Laag,2021,?
146,Steenakker, Laag,2021,40
147,Effen-Rith, Laag,2021,140
148,Liesbos, Laag,2021,120
149,Gageldonk, Laag,2021,820
150,Kievitsloop, Laag,2021,800
151,Kesteren, Laag,2021,900
152,Muizenberg, Laag,2021,680
153,Heksenwiel, Laag,2021,880
154,Overkroeten, Laag,2021,480
155,Kroeten, Laag,2021,340
156,Emer, Laag,2021,?
157,Hagebeemd, Laag,2021,40
158,Bavel, Laag,2021,810
