,Buurten,level_of_income,Year,value
0,Valkenberg, Low income,2009,"60,0"
1,Chassé, Low income,2009,"47,0"
2,Fellenoord, Low income,2009,"66,0"
3,Schorsmolen, Low income,2009,"66,0"
4,Station, Low income,2009,"57,0"
5,City, Low income,2009,"50,0"
6,Belcrum, Low income,2009,"41,0"
7,Doornbos-Linie, Low income,2009,"60,0"
8,Biesdonk, Low income,2009,"52,0"
9,Geeren-zuid, Low income,2009,?
10,Wisselaar, Low income,2009,"47,0"
11,Krogten, Low income,2009,"32,0"
12,Geeren-noord, Low income,2009,"64,0"
13,Waterdonken, Low income,2009,?
14,Brabantpark, Low income,2009,"51,0"
15,Sportpark, Low income,2009,"26,0"
16,Zandberg, Low income,2009,"35,0"
17,Heusdenhout, Low income,2009,"36,0"
18,Moleneind-oost, Low income,2009,"36,0"
19,Hoogeind, Low income,2009,"36,0"
20,Blauwe Kei, Low income,2009,"33,0"
21,Ypelaar, Low income,2009,"44,0"
22,Overakker, Low income,2009,"35,0"
23,Ginneken, Low income,2009,"27,0"
24,Mastbos, Low income,2009,?
25,Boeimeer, Low income,2009,"31,0"
26,Ruitersbos, Low income,2009,"36,0"
27,Haagpoort, Low income,2009,"52,0"
28,Heuvel, Low income,2009,"59,0"
29,Tuinzigt, Low income,2009,"57,0"
30,Princenhage, Low income,2009,"36,0"
31,Westerpark, Low income,2009,"30,0"
32,Heilaar, Low income,2009,"13,0"
33,Hazeldonk, Low income,2009,?
34,Steenakker, Low income,2009,"18,0"
35,Effen-Rith, Low income,2009,"18,0"
36,Liesbos, Low income,2009,"6,0"
37,Gageldonk, Low income,2009,"33,0"
38,Kievitsloop, Low income,2009,"28,0"
39,Kesteren, Low income,2009,"41,0"
40,Muizenberg, Low income,2009,"35,0"
41,Heksenwiel, Low income,2009,"34,0"
42,Overkroeten, Low income,2009,"27,0"
43,Kroeten, Low income,2009,"24,0"
44,Emer, Low income,2009,?
45,Hagebeemd, Low income,2009,"38,0"
46,Bavel, Low income,2009,"27,0"
47,Nieuw Wolfslaar, Low income,2009,"21,0"
48,Buitengebied Bavel, Low income,2009,"13,0"
49,Ulvenhout, Low income,2009,"23,0"
50,Buitengebied Ulvenhout, Low income,2009,"19,0"
51,Prinsenbeek, Low income,2009,"27,0"
52,Buitengebied Prinsenbeek, Low income,2009,"20,0"
53,Teteringen, Low income,2009,?
54,Vuchtpolder, Low income,2009,?
55,Buitengebied Teteringen, Low income,2009,?
56,Valkenberg, Low income,2010,"58,0"
57,Chassé, Low income,2010,"44,0"
58,Fellenoord, Low income,2010,"68,0"
59,Schorsmolen, Low income,2010,"62,0"
60,Station, Low income,2010,"50,0"
61,City, Low income,2010,"53,0"
62,Belcrum, Low income,2010,"42,0"
63,Doornbos-Linie, Low income,2010,"63,0"
64,Biesdonk, Low income,2010,"50,0"
65,Geeren-zuid, Low income,2010,?
66,Wisselaar, Low income,2010,"46,0"
67,Krogten, Low income,2010,"23,0"
68,Geeren-noord, Low income,2010,"60,0"
69,Waterdonken, Low income,2010,?
70,Brabantpark, Low income,2010,"50,0"
71,Sportpark, Low income,2010,"26,0"
72,Zandberg, Low income,2010,"33,0"
73,Heusdenhout, Low income,2010,"38,0"
74,Moleneind-oost, Low income,2010,"38,0"
75,Hoogeind, Low income,2010,"39,0"
