,Buurten,level_of_education,Year,number_of_people,number_of_students
0,Valkenberg,Low level,2019-01-01,240,240
1,Chassé,Low level,2019-01-01,340,340
2,Fellenoord,Low level,2019-01-01,410,410
3,Schorsmolen,Low level,2019-01-01,390,390
4,Station,Low level,2019-01-01,360,360
5,City,Low level,2019-01-01,240,240
6,Belcrum,Low level,2019-01-01,510,510
7,Doornbos-Linie,Low level,2019-01-01,1080,1080
8,Biesdonk,Low level,2019-01-01,1400,1400
9,Geeren-zuid,Low level,2019-01-01,1250,1250
10,Wisselaar,Low level,2019-01-01,1370,1370
11,Krogten,Low level,2019-01-01,50,50
12,Geeren-noord,Low level,2019-01-01,810,810
13,Waterdonken,Low level,2019-01-01,70,70
14,Brabantpark,Low level,2019-01-01,1970,1970
15,Sportpark,Low level,2019-01-01,350,350
16,Zandberg,Low level,2019-01-01,410,410
17,Heusdenhout,Low level,2019-01-01,990,990
18,Moleneind-oost,Low level,2019-01-01,0,0
19,Hoogeind,Low level,2019-01-01,10,10
20,Blauwe Kei,Low level,2019-01-01,650,650
21,Ypelaar,Low level,2019-01-01,930,930
22,Overakker,Low level,2019-01-01,450,450
23,Ginneken,Low level,2019-01-01,950,950
24,Mastbos,Low level,2019-01-01,130,130
25,Boeimeer,Low level,2019-01-01,720,720
26,Ruitersbos,Low level,2019-01-01,210,210
27,Haagpoort,Low level,2019-01-01,550,550
28,Heuvel,Low level,2019-01-01,2050,2050
29,Tuinzigt,Low level,2019-01-01,2120,2120
30,Princenhage,Low level,2019-01-01,1640,1640
31,Westerpark,Low level,2019-01-01,570,570
32,Heilaar,Low level,2019-01-01,70,70
34,Steenakker,Low level,2019-01-01,40,40
35,Effen-Rith,Low level,2019-01-01,150,150
36,Liesbos,Low level,2019-01-01,110,110
37,Gageldonk,Low level,2019-01-01,940,940
38,Kievitsloop,Low level,2019-01-01,850,850
39,Kesteren,Low level,2019-01-01,1040,1040
40,Muizenberg,Low level,2019-01-01,780,780
41,Heksenwiel,Low level,2019-01-01,990,990
42,Overkroeten,Low level,2019-01-01,560,560
43,Kroeten,Low level,2019-01-01,370,370
45,Hagebeemd,Low level,2019-01-01,40,40
46,Bavel,Low level,2019-01-01,860,860
47,Nieuw Wolfslaar,Low level,2019-01-01,370,370
48,Buitengebied Bavel,Low level,2019-01-01,90,90
49,Ulvenhout,Low level,2019-01-01,540,540
50,Buitengebied Ulvenhout,Low level,2019-01-01,50,50
51,Prinsenbeek,Low level,2019-01-01,1890,1890
52,Buitengebied Prinsenbeek,Low level,2019-01-01,120,120
53,Teteringen,Low level,2019-01-01,1260,1260
54,Vuchtpolder,Low level,2019-01-01,30,30
55,Buitengebied Teteringen,Low level,2019-01-01,70,70
56,Valkenberg,Low level,2020-01-01,240,240
57,Chassé,Low level,2020-01-01,230,230
58,Fellenoord,Low level,2020-01-01,430,430
59,Schorsmolen,Low level,2020-01-01,390,390
60,Station,Low level,2020-01-01,280,280
61,City,Low level,2020-01-01,230,230
62,Belcrum,Low level,2020-01-01,520,520
63,Doornbos-Linie,Low level,2020-01-01,960,960
64,Biesdonk,Low level,2020-01-01,1480,1480
65,Geeren-zuid,Low level,2020-01-01,1240,1240
66,Wisselaar,Low level,2020-01-01,1360,1360
67,Krogten,Low level,2020-01-01,50,50
68,Geeren-noord,Low level,2020-01-01,790,790
69,Waterdonken,Low level,2020-01-01,90,90
70,Brabantpark,Low level,2020-01-01,1950,1950
71,Sportpark,Low level,2020-01-01,320,320
72,Zandberg,Low level,2020-01-01,410,410
73,Heusdenhout,Low level,2020-01-01,960,960
74,Moleneind-oost,Low level,2020-01-01,0,0
75,Hoogeind,Low level,2020-01-01,10,10
76,Blauwe Kei,Low level,2020-01-01,590,590
77,Ypelaar,Low level,2020-01-01,940,940
78,Overakker,Low level,2020-01-01,410,410
79,Ginneken,Low level,2020-01-01,540,540
80,Mastbos,Low level,2020-01-01,170,170
81,Boeimeer,Low level,2020-01-01,640,640
82,Ruitersbos,Low level,2020-01-01,200,200
83,Haagpoort,Low level,2020-01-01,590,590
84,Heuvel,Low level,2020-01-01,2200,2200
85,Tuinzigt,Low level,2020-01-01,2020,2020
86,Princenhage,Low level,2020-01-01,1700,1700
87,Westerpark,Low level,2020-01-01,570,570
88,Heilaar,Low level,2020-01-01,70,70
90,Steenakker,Low level,2020-01-01,40,40
91,Effen-Rith,Low level,2020-01-01,150,150
92,Liesbos,Low level,2020-01-01,110,110
93,Gageldonk,Low level,2020-01-01,840,840
94,Kievitsloop,Low level,2020-01-01,820,820
95,Kesteren,Low level,2020-01-01,1010,1010
96,Muizenberg,Low level,2020-01-01,740,740
97,Heksenwiel,Low level,2020-01-01,950,950
98,Overkroeten,Low level,2020-01-01,520,520
99,Kroeten,Low level,2020-01-01,370,370
101,Hagebeemd,Low level,2020-01-01,40,40
102,Bavel,Low level,2020-01-01,810,810
103,Nieuw Wolfslaar,Low level,2020-01-01,360,360
104,Buitengebied Bavel,Low level,2020-01-01,100,100
105,Ulvenhout,Low level,2020-01-01,600,600
106,Buitengebied Ulvenhout,Low level,2020-01-01,40,40
