,Buurten,Year,Age,Gender,value
0,Valkenberg,2014-01-01,< 30 jaar,Man,380.0
1,Chassé,2014-01-01,< 30 jaar,Man,604.0
2,Fellenoord,2014-01-01,< 30 jaar,Man,333.0
3,Schorsmolen,2014-01-01,< 30 jaar,Man,650.0
4,Station,2014-01-01,< 30 jaar,Man,513.0
5,City,2014-01-01,< 30 jaar,Man,622.0
6,Belcrum,2014-01-01,< 30 jaar,Man,678.0
7,Doornbos-Linie,2014-01-01,< 30 jaar,Man,945.0
8,Biesdonk,2014-01-01,< 30 jaar,Man,908.0
9,Geeren-zuid,2014-01-01,< 30 jaar,Man,737.0
10,Wisselaar,2014-01-01,< 30 jaar,Man,822.0
11,Krogten,2014-01-01,< 30 jaar,Man,38.0
12,Geeren-noord,2014-01-01,< 30 jaar,Man,529.0
13,Waterdonken,2014-01-01,< 30 jaar,Man,218.0
14,Brabantpark,2014-01-01,< 30 jaar,Man,2033.0
15,Sportpark,2014-01-01,< 30 jaar,Man,608.0
16,Zandberg,2014-01-01,< 30 jaar,Man,1078.0
17,Heusdenhout,2014-01-01,< 30 jaar,Man,748.0
18,Moleneind-oost,2014-01-01,< 30 jaar,Man,13.0
19,Hoogeind,2014-01-01,< 30 jaar,Man,5.0
20,Blauwe Kei,2014-01-01,< 30 jaar,Man,672.0
21,Ypelaar,2014-01-01,< 30 jaar,Man,890.0
22,Overakker,2014-01-01,< 30 jaar,Man,406.0
23,Ginneken,2014-01-01,< 30 jaar,Man,918.0
24,Mastbos,2014-01-01,< 30 jaar,Man,118.0
25,Boeimeer,2014-01-01,< 30 jaar,Man,949.0
26,Ruitersbos,2014-01-01,< 30 jaar,Man,298.0
27,Haagpoort,2014-01-01,< 30 jaar,Man,442.0
28,Heuvel,2014-01-01,< 30 jaar,Man,1609.0
29,Tuinzigt,2014-01-01,< 30 jaar,Man,1537.0
30,Princenhage,2014-01-01,< 30 jaar,Man,1395.0
31,Westerpark,2014-01-01,< 30 jaar,Man,640.0
32,Heilaar,2014-01-01,< 30 jaar,Man,42.0
33,Hazeldonk,2014-01-01,< 30 jaar,Man,6.0
34,Steenakker,2014-01-01,< 30 jaar,Man,47.0
35,Effen-Rith,2014-01-01,< 30 jaar,Man,140.0
36,Liesbos,2014-01-01,< 30 jaar,Man,82.0
37,Gageldonk,2014-01-01,< 30 jaar,Man,944.0
38,Kievitsloop,2014-01-01,< 30 jaar,Man,878.0
39,Kesteren,2014-01-01,< 30 jaar,Man,761.0
40,Muizenberg,2014-01-01,< 30 jaar,Man,602.0
41,Heksenwiel,2014-01-01,< 30 jaar,Man,878.0
42,Overkroeten,2014-01-01,< 30 jaar,Man,647.0
43,Kroeten,2014-01-01,< 30 jaar,Man,454.0
44,Emer,2014-01-01,< 30 jaar,Man,13.0
45,Hagebeemd,2014-01-01,< 30 jaar,Man,29.0
46,Bavel,2014-01-01,< 30 jaar,Man,874.0
47,Nieuw Wolfslaar,2014-01-01,< 30 jaar,Man,440.0
48,Buitengebied Bavel,2014-01-01,< 30 jaar,Man,135.0
49,Ulvenhout,2014-01-01,< 30 jaar,Man,709.0
50,Buitengebied Ulvenhout,2014-01-01,< 30 jaar,Man,47.0
51,Prinsenbeek,2014-01-01,< 30 jaar,Man,1765.0
52,Buitengebied Prinsenbeek,2014-01-01,< 30 jaar,Man,142.0
53,Teteringen,2014-01-01,< 30 jaar,Man,1113.0
54,Vuchtpolder,2014-01-01,< 30 jaar,Man,14.0
55,Buitengebied Teteringen,2014-01-01,< 30 jaar,Man,61.0
56,Valkenberg,2014-01-01,< 30 jaar,Vrouw,485.0
57,Chassé,2014-01-01,< 30 jaar,Vrouw,602.0
58,Fellenoord,2014-01-01,< 30 jaar,Vrouw,365.0
59,Schorsmolen,2014-01-01,< 30 jaar,Vrouw,805.0
60,Station,2014-01-01,< 30 jaar,Vrouw,593.0
61,City,2014-01-01,< 30 jaar,Vrouw,729.0
62,Belcrum,2014-01-01,< 30 jaar,Vrouw,723.0
63,Doornbos-Linie,2014-01-01,< 30 jaar,Vrouw,979.0
64,Biesdonk,2014-01-01,< 30 jaar,Vrouw,964.0
65,Geeren-zuid,2014-01-01,< 30 jaar,Vrouw,730.0
66,Wisselaar,2014-01-01,< 30 jaar,Vrouw,838.0
67,Krogten,2014-01-01,< 30 jaar,Vrouw,28.0
68,Geeren-noord,2014-01-01,< 30 jaar,Vrouw,535.0
69,Waterdonken,2014-01-01,< 30 jaar,Vrouw,261.0
70,Brabantpark,2014-01-01,< 30 jaar,Vrouw,2255.0
71,Sportpark,2014-01-01,< 30 jaar,Vrouw,626.0
72,Zandberg,2014-01-01,< 30 jaar,Vrouw,1215.0
73,Heusdenhout,2014-01-01,< 30 jaar,Vrouw,820.0
74,Moleneind-oost,2014-01-01,< 30 jaar,Vrouw,9.0
75,Hoogeind,2014-01-01,< 30 jaar,Vrouw,5.0
76,Blauwe Kei,2014-01-01,< 30 jaar,Vrouw,717.0
77,Ypelaar,2014-01-01,< 30 jaar,Vrouw,827.0
78,Overakker,2014-01-01,< 30 jaar,Vrouw,418.0
79,Ginneken,2014-01-01,< 30 jaar,Vrouw,901.0
80,Mastbos,2014-01-01,< 30 jaar,Vrouw,51.0
