filename,emotion
segment_1,happiness
segment_10,happiness
segment_11,surprise
segment_12,happiness
segment_13,happiness
segment_14,happiness
segment_15,happiness
segment_16,surprise
segment_17,happiness
segment_18,no_emotion
segment_19,surprise
segment_2,happiness
segment_20,fear
segment_21,happiness
segment_22,happiness
segment_23,happiness
segment_24,happiness
segment_25,happiness
segment_26,surprise
segment_27,happiness
segment_28,happiness
segment_29,disgust
segment_3,surprise
segment_30,happiness
segment_31,happiness
segment_32,happiness
segment_33,happiness
segment_34,happiness
segment_35,happiness
segment_36,happiness
segment_37,surprise
segment_38,happiness
segment_39,anger
segment_4,happiness
segment_40,happiness
segment_41,happiness
segment_42,happiness
segment_43,happiness
segment_44,happiness
segment_45,surprise
segment_46,happiness
segment_47,surprise
segment_48,happiness
segment_49,happiness
segment_5,happiness
segment_50,happiness
segment_51,fear
segment_52,happiness
segment_53,happiness
segment_54,happiness
segment_55,fear
segment_56,happiness
segment_6,surprise
segment_7,no_emotion
segment_8,surprise
segment_9,happiness
